Name_of_Place,Segmentation,atmosphere_num,atmosphere_type,description ,location,review,no_of_people,approximate_cost,Opening_and_closing_Time,Suggested_Duration,,,
"T Nagar, Ranganathan Street",Flea & Street Markets,1,Outdoor,"Ranganathan Street is a major commercial street in the neighborhood of T. Nagar, located in Chennai, India. It is one of the most crowded streets in Chennai.The street houses several commercial establishments, primarily those involved in the clothing and jewelry industry. It has often been referred to as the most crowded street in Chennai.","Ranganathan Station, Postal Colony, T Nagar Chennai, Tamil Nadu 600017, India",4,50,250,24 hrs,2:00 Hrs,,,
VGP Marine Kingdom,Aquariums,2,Indoor,"Presenting India’s largest and coolest walk-in Aquarium with a 70 Mtr under water tunnel.Exotic species from 5 aquatic zones,Experience live feding shows and touch Pool exhibits.","VGP Marine Kingdom
East Coast Road,
Injambakkam,
Chennai,
Tamil Nadu
600115",4.5,20,645,"Weekdays :   09:30 AM To 07:30 PM

Weekends :   09:00 AM To 08:00 PM",>3 hrs,,,
Vadapalani Murugan Temple,Religious sites,2,Indoor&Outdoor,"Built about 125 years back, this much-hallowed and regularly frequented Muruga sannidhi has emerged from a thatched shed, an unostentatious one enshrining a Murugan picture only, and established for itself a name on par with ancient places of worship. Around 7,000 couples are married here each year.","Andavar Koil Street, Vadapalani, Chennai",4.5,25,0,"5 am: Nadai
5:30 am: Palli Arai
7 am: Milk Abhishekam
10 am: Vibhuti Abhishekam
11 am: Santanam Abhishekam
12 noon: Uchi Kāla Puja
9 pm: Palli Arai Puja",1hr,,,
Ramakrishna Temple,Religious sites,2,Indoor&Outdoor,"The present temple, dedicated only recently in a joyous three-day ceremony, represents three hundred years of faith and devotion.","Sri Ramakrishna Math
31, Ramakrishna Math Road, 
Mylapore
Chennai 600004, India",4.5,25,0,"05.00 am to 11:45am
03:00 pm to 09:00pm",1hr,,,
VGP Universal Kingdom,Amusement & Theme Park,1,Outdoor,"VGP Universal Kingdom along the undulating shoreline and shimmering white sand has captivated us with its sensational concept since 1975. Its concept along with the location enhances its appeal across all ages making it truly the Universal Kingdom. VGP Universal kingdom today is one of the most innovative and sorted out amusement Park&Gardens in South India, a strong reflection of our belief that “Fun is a serious business”.At VGP Universal Kingdom we believe in providing our guests a joyous retreat and complete entertainment to make the moments spent a joyous and memorable one. With more than 50 rides, sprawling lawns by the beach, luxuriant Park&Garden&Garden, unique “Statue Man”, the exquisite Paneer Fort, live international shows every year, theme and festival celebration, food courts, multi cuisine restaurants you will for sure be in a different world.","VGP Universal Kingdom, East Coast Road, Chennai – 600 041",4,15,685,9:30AM to 6:30 PM,>3,,,
Viswaroopa Adhivyadhihara Sri Bhaktha Anjaneyaswami Temple,Religious sites,2,Indoor&Outdoor,"This temple is located in Calm and clean place. The Bhaktha Anjaneya temple at Nanganallur in Chennai is known for bestowing better health to the devotees. The idol of the central image is 32 feet in height making it one of its own kind.Sri Rama, Sri Lakshmana and Seetha with Sri Anjaneyar, Sri Vinayagar, Sri Raghavendra and Sri Krishna with his consorts Bhama and Rukmini are also here. Prasadam is provided.","No : 1, 8th street Ram Nagar Nanganallur, Chennai (Madras) 600 061 India",4.5,15,0," 5:00 AM - 12:00 PM, 4:30 PM - 9:00 PM",1hr,,,
Guindy Snake Park&Garden,Nature & Wildlife Areas,2,Indoor&Outdoor,"In addition to over thirty Indian snakes, this specialty zoo is home to domestic and exotic crocodiles, turtles and tortoises. A library and museum are also on site.","263Q+MFR, Raj Bhavan post, Guindy, Chennai, Tamil Nadu 600022",4,20,7.5,"other_days(9 am–5:30 pm)
Tuesday(Closed)",>1hr,,,
Ashtalakshmi Temple,Religious sites,2,Indoor&Outdoor,"The Ashtalakshmi Kovil is a Hindu temple, which lies on the shorelines near the Elliot's beach, in Chennai, India. The temple is dedicated to the goddess Lakshmi, and her eight primary forms – the Ashtalakshmi – the giver of all eight forms of wealth, namely, offspring, success, prosperity, wealth, courage, bravery, food, and knowledge. The sanctorums are depicted on a multi-tier complex in such a way that visitors could visit all the shrines without stepping over any of the sanctorums.","X7VC+25R, Beach Rd, Kalakshetra Colony, Besant Nagar, Chennai, Tamil Nadu 600090",4.5,20,0,9:00 AM - 9:00 PM,1 hr,,,
St. Thomas Mount National Shrine,Religious sites,2,Indoor&Outdoor,16th-century memorial shrine dedicated to a Catholic saint & approached by steps up a hillside.,"ST. THOMAS MOUNT, Near, Pedastrian Route, Kathipara Grade Flyover, Chennai, Tamil Nadu 600016",4.5,20,0,6:00 AM - 8:00 PM,1hr,,,
Kalikambal Temple,Religious sites,2,Indoor&Outdoor,"The Kālikāmbal Temple is a Hindu temple dedicated to Shri Kāligāmbāl and Lord Kamadeswarar, located in Parry's corner locality of the city of Chennai","212, Thambu Chetty St, near DHL Express Courier, Mannadi, George Town, Chennai, Tamil Nadu 600001",4.5,20,0,-,1hr,,,
Arignar Anna Zoological Park&Garden,zoos,1,Outdoor,"Arignar Anna Zoological Park&Garden was the first Zoo established in the country in 1855. It is one of the largest Zoos in Southeast Asia, spreading across 602 hectares of land. It is one of the most modern and scientifically managed Zoos in the country and it is rated as the ""Best Zoo"" in the country with a top score of 82% in the first Management Effectiveness Evaluation conducted by the Central Zoo Authority, MOEF & CC. The Park&Garden works with the mission of conservation breeding of rare and endangered animals, veterinary care & conservation education.","Grand Southern Trunk Rd, Vandalur, Tamil Nadu 600048",4,20,200,9:00 AM - 6:00 PM,3 hr,,,
Marundeeswarar Temple,Religious sites,2,Indoor&Outdoor,This 1300 years old temple is situated in Thiruvanmiyur near the shores of the Bay of Bengal. Marundeeswarar Temple has found its place in the verses of the well known Nayanars namely Appar and Thirugnana Sambandar during the 7th and 8th century,"Lalitha Nagar, Thiruvanmiyur, Chennai, Tamil Nadu, 600041, India",4.5,20,0,"5:30 am – 12:00 pm
4:00 pm – 9:00 pm",<1hr,,,
"ISKCON Chennai, Sri Sri Radha Krishna Temple",Religious sites,2,Indoor&Outdoor,"SKCON Temple Chennai, also known as the Sri Sri Radha Krishna Mandir, is a Gaudiya Vaishnavism temple in Chennai, India. The temple is dedicated to Hindu god Radha and Krishna.","ISKON TEMPLE, Bhakti Vedanta Swami Rd, Akkarai, Sholinganallur, Chennai, Tamil Nadu 600119",4.5,20,0,"4:30 AM - 1:00 PM, 4:00 PM - 9:00 PM",1hr,,,
Chennai Rail Museum,Museum,1,Outdoor,"The Chennai Rail Museum is the second such Rail Museum that is dedicated to the nation. Opened by Shri Nitish Kumar, the then Hon’ble Railway Minister on 31.03.2002. At the centre of the Museum, the first gallery of 360 sq. meters had been built, accommodating several heritage exhibits, photographs, and other important information on the glorious History of Railways. Over the years, many additions have been made to the erstwhile Regional Rail Museum, now named as Chennai Rail Museum, with 5 IndoorGalleries that contain heritage rail items, vintage trains, photos, scale models, etc. The CRM is unique and different from other Rail Museums, with a dedicated Art gallery that displays rail related art work by eminent artists, a 90 seater Air-conditioned Movie Theatre, and many many more such attractions.","Next to ICF Furnishing Division, New Avadi Rd, Villivakkam, Chennai, Tamil Nadu 600038",4.5,20,50,10:00 AM - 5:00 PM,1-2hrs,,,
Queens Land,Amusement & Theme Park,1,Outdoor,"Queensland is an action-packed world of rides, slides and other exciting activities that includes fifty one rides. There are thirty three rides for adults and eighteen rides for children. Water rides are open from 2:00 PM to 5:00 PM. It also holds swimming pools for women and men.

The amazing Free Fall Tower is one of the tallest towers in South East Asia and can hold around 24 people. It is permitted only for adults. Adrenaline junkies will enjoy moving up in the sky to a height of 150 metres and then plunging down. Made in Germany, Alpen Blitz is sure to excite adventure buffs that take them for a ride at 45 degrees.","Chennai - Banglore Trunk Road, Palanjur, Sembarambakkam, Chennai, Tamil Nadu, 600123, India",4,30,750,9:30 AM - 7:00 PM,7hr,,,
The Anna Centenary Library,Library,2,Indoor,"Chennai is now home to South Asia’s largest library. So if you are a book lover and need a break from the city’s commotion, this is the place for you. The Anna Centenary Library is an eight-story structure that has recently added to the city’s growing modern landscape in the Kotturpuram area. A Braille section, children’s corner, replica of the ""Tree of Knowledge,"" an auditorium and an amphitheater make quite an impression on visitors.","Gandhi Mandapam Rd, Surya Nagar, Kotturpuram, Chennai, Tamil Nadu 600085",4.5,20,0,9 am–8 pm,1-2hrs,,,
Elliot's Beach,Beaches,1,Outdoor,"Elliot's Beach aka ""Besant Nagar Beach"" or ""Bessie"" is located in Besant Nagar, Chennai. Also known as Besant Nagar Beach, It forms the end-point of the Marina Beach shore and is named after Edward Elliot (who was once the Chief Magistrate, Superintendent of Madras and Governor of Chennai during the British times). It has the Velankanni Church and the Ashtalakshmi Kovil in the vicinity. The mesmerising beach is one of the cleanest beaches in the city of Chennai."," 6th Avenue, Besant Nagar, Chennai, Tamil Nadu, 600090, India",4,30,0,12:00 AM - 11:59 PM,2hr,,,
"Jagannath Temple, Kanathur",Religious sites,2,Indoor&Outdoor,"Jagannath Puri Temple Chennai is a Hindu temple dedicated to the divine trinity Jagannath, Baladeva and Subhadra in Chennai, India. The temple located in Kannathur off the East Coast Road by the seaside is built in Kalinga architecture reminiscent of the Jagannath Temple, Puri","Kannathur Reddikuppam, Kovalam Post, Sunrise Ave, Chennai, Tamil Nadu 603112",4.5,20,0,"6:30 am–12:30 pm, 3:30–7:30 pm",1hr,,,
Government museum,Cultural attractions ,2,Indoor&Outdoor,"This majestic complex comprises six buildings and nearly fifty galleries; the impressive works cross every era and branch of science and art, from zoology and anthropology to puppetry, painting and fibre optic sculpture.","Egmore, Chennai, Tamil Nadu, India",4,20,15,9:30 AM - 5:00 PM,1-2hrs,,,
Light House,Points of Interest & Landmarks,1,Outdoor," Lighthouse is one such place that allows you to witness the mesmerizing beauty of Marina Beach and the entire city from the top.

Nestled on the east coast of the Indian Subcontinent, Lighthouse, also known as Madras Lighthouse or Marina Lighthouse, offers a delightful experience to all those who are here to spend some time away from the overcrowded areas of the city. Here you can relax in a laid-back atmosphere, admire a nice view of the sea or simply choose to overlook the sunrise or sunset at your comfort.","Marina Beach, Mylapore, Chennai, Tamil Nadu, 600004, India",4,20,15,"Monday(Closed / Holiday)
other_days(10:00 am – 1:00 pm,3:00 pm – 5:00 pm)",<1hr,,,
Vivekananda House,Cultural attractions ,2,Indoor," Vivekananda House (known as Vivekanandar Illam in Tamil), an important landmark in Chennai is associated with the Sri Ramakrishna Math since 1897 when Swami Vivekananda stayed here for nine days after his triumphant return from the West. Later, Sri Ramakrishna Math, Chennai was founded and functioned at this place during its ten years from 1897 to 1906. Now, this historic place houses a technological smart museum called “Experience Vivekananda” on Indian Culture, Swami Vivekananda’s Life and his message using latest trends like Virtual and Augmented Reality, modern 3D/4D effects and advanced Son et Lumiere elements. Currently, Vivekananda House is maintained by Sri Ramakrishna Math, Chennai and it’s a source of inspiration to thousands of Indian and International visitors who visit it every year","VIVEKANANDA HOUSE, Kamaraj Salai, Marina Beach Road, Triplicane, Chennai, Tamil Nadu 600005",4.5,20,20,"10:00am-12:30pm,3:00 PM - 7:15 PM",1hr,,,
Pondy Bazaar,Flea & Street Markets,1,Outdoor,"Market bustling with colourful shops, vendors and peddlers. you can buy cheap stuff with fairly good quality almost anywhere. highly recommended for shopping clothes, utensils, food stuff etc","Parthasarathi Puram, T. Nagar
Chennai, Tamil Nadu 600017",4,20,0,10AM to 10PM,1-2hrs,,,
Fort St. George,Cultural attractions ,2,Indoor,"A testament to the earliest English rule in the country, this was the first fortress in India built in 1644. The fort houses St. Mary’s Church, the oldest Anglican church in the country, a museum and Wellesley House, named after Richard Wellesley, governor general of India. Until recently the fort complex served as housing for the government; now certain areas are open to public.","Rajaji Salai, Near Legislature and Secretariat, Fort St George, Chennai, Tamil Nadu, 600009, India",3.5,20,5,9:00 am – 5:00 pm,<1hr,,,
Cholamandal Artists' Village,Cultural attractions ,2,Indoor,"An unassuming introduction to local art, the Cholamandal Village is a serene set-up, displaying works of upcoming and established artists, painters and sculptors from South India. It was built in 1966 and is nine kilometers from the city. The village houses an art gallery, museum and an amphitheater for theater performances. This is a residential village for the artists, so a polite reserve is appreciated","CHOLAMANDAL ARTISTS' VILLAGE
INJAMBAKKAM
CHENNAI - 600 041
INDIA",4,20,30,9:30am to 6:30pm,1-2hrs,,,
Chennai Citi Center,Shopping Mall,2,Indoor,"Chennai Citi Centre in Mylapore is where you need to head to for shopping, amazing things to do, events, and delish food. ","Dr Radha Krishnan Salai, Loganathan Colony, Mylapore, Chennai, Tamil Nadu 600004",3.5,20,500,10 am–10 pm,3 hr,,,
The Huddleston Park&Garden&Garden of Theosophical Society,Park&Garden,1,Outdoor,"A tranquil walk in the Huddleston Park&Garden&Garden of the Theosophical Society of India might be needed after grappling with the city din of Chennai. The Theosophical Society is spread over 260 acres but you can certainly cover the garden, which is home to migratory birds, fruit bats, snakes, jackals, wild cats, mongooses, hares and a variety of spiders. A 450-year-old banyan tree resides in the garden with aerial roots covering 60,000 square meters","Arunachalapuram, Adyar, Chennai, Tamil Nadu 600020",4.5,20,0,"10:00 AM - 12:00 PM, 2:00 PM - 4:00 PM",1-2hrs,,,
Armenian Church,Religious sites,2,Indoor,"Saint Mary Church of Chennai, constructed in 1712 and reconstructed in 1772, is one of the oldest churches of the Indian subcontinent, located in Chennai. It is famous for its belfry of six.","Armenian Street, near High Court, Parry's Corner, George Town, Chennai, Tamil Nadu 600001",4,20,0,9:30 am–2:30 pm,1hr,,,
Anna Nagar Tower Park&Garden,Park&Garden,1,Outdoor,"Anna Nagar Tower Park&Garden, officially known as Dr Visvesvaraya Tower Park&Garden, is an urban Park&Garden in the suburb of Anna Nagar, Chennai. It is the tallest Park&Garden tower in Chennai. The tower is open for public access from March 21st 2023.","Tower Park&Garden, 3rd Main Road, Anna Nagar, Chennai - 600040 (Next to The Tower Club)",4.3,10,10,5:00 am - 8:00 pm,1-2hrs,,,
Parry's Corner,Flea & Street Markets,1,Outdoor,"It is also a very popular shopping market in the city. It is a wholesale shopping market dealing in a variety of products ranging from fabrics, cosmetics, bangles and stationery items to utensils, plumbing equipment & cycle parts. For instance, there are about 25 streets in this area between Rajaji Salai and Wall Tax Road (as shown in the map below) that comprises the shopping market. What is unique to the Parry’s Corner shopping market is that each street specializes in one particular type of product. One has to explore the shopping market several times to get a sense of the market and the numerous products that are available here. Chennaites flock to this area during the Diwali, Navaratiri and Christmas festivals.","Parry's CornerGeorge Town, Chennai, Tamil Nadu 600001",4,20,500,10AM to 10PM,3 hrs,,,
Chetpet EcoPark&Garden,Park&Garden,1,Outdoor,"Attraction with tracks for walkers & joggers, a children's play area & a seafood restaurant","KMC, 814, Poonamallee High Rd, Opposite to, New Bupathy Nagar, Kilpauk, Chennai, Tamil Nadu 600010",4.5,20,0,"10 am–7:30 pm,Tuesday(closed)",1-2hrs,,,
Muttukadu Lake,Bodies of Water,1,Outdoor,"Muttukadu Boat House is a perfect place for the residents of the nearby metropolitan (Chennai) to relax. With a wide combo of water sports such as motorboats, rowboats, and water scooters, along with the restaurant facility, it makes for a splendid spot to spend the day","East Coast Road, Muthukadu, Tamil Nadu 603103",3.5,20,300,9 am–6 pm,1-2hrs,,,
Chokhi Dhani,Points of Interest & Landmarks,2,Indoor&Outdoor,"Chokhi Dhani is famous for its unlimited entertainment with its Rajasthani folk dances, live musical performances, puppetry folklore, astrological readings, magic shows and a gamut of games.","Rajalakshmi Engineering College - Bus Shed, Rajalakshmi Nagar, Mevalurkuppam, Tamil Nadu 602105",3.5,10,800,4–10 pm,2-3hrs,,,
Chennai Turtle Walk,Nature & Wildlife Areas,1,Outdoor,Join independent conservation and wildlife enthusiast groups such as the Students’ Sea Turtle Conservation Network for midnight walks from Neelangarai to Besant Nagar beach to aid the endangered Olive Ridley sea turtle by relocating eggs for safe release to the sea.,Neelangarai to Besant Nagar,4.5,20,0,11:30 PM,>3hrs,,,
Spencer Plaza,Shopping Mall,2,Indoor,"This large office Park&Garden and shopping mall is a Chennai landmark, conveniently close to the business district and hotels","Seethakathi Business Centre, 688, Anna Salai, Thousand Lights East, Thousand Lights, Chennai, Tamil Nadu 600006",3.5,20,0,9:00 AM - 10:00 PM,2-3hrs,,,
VR Chennai,Shopping Mall,2,Indoor,"Virtuous Retail redefines the retail experience in the city of Chennai with its latest flagship offering, VR Chennai. Located in the up-market neighbourhood of Anna Nagar, the Centre offers 2 million sq. ft. of high quality retail, a PVR ten screen cinema including a large screen format PX[L] and a plethora of F&B options.","100 Feet Rd, Thirumangalam, Anna Nagar, Chennai, Tamil Nadu 600040",4,20,0,10AM to 10PM,2-3hrs,,,
Sowcarpet,Flea & Street Markets,1,Outdoor,"The place is the hub for many retail shops in and around Chennai, A whole sale market place.. You get cloths, clothing accessories, Gadgets, tools, hardware, toys, stationaries, gifts, electrical & electronics and etc, etc, etc.. No only this you can also enjoy north Indian street food.","SowcarpetPeddanaickenpet, George Town, Chennai, Tamil Nadu 600001",4,20,0,10AM to 10PM,2-3hrs,,,
Kovalam Beach,Beaches,1,Outdoor,"Kovalam beach, located in the Chengalpattu district in Tamil Nadu, India, is a popular tourist destination known for its safe, clean, and hygienic environment with a range of facilities and activities to enjoy. The beach was earlier known as Covelong beach and is situated in a small fishing village called Covelong in the Kanchipuram district, about 36 km away from Chennai.","Chennai, Kovalam, Tamil Nadu 600003",4.5,20,20,6:00 AM to 6:00 PM,>1hr,,,
Pothys Hyper,Shopping Mall,2,Indoor,Shopping has always been an enigma. Pothys has been a paramount name to every household across Tamil Nadu. Its dedication and loyalty with which we continue to win the customers across are simply unmatched. Shopping at Pothys can give you that reason to rejoice and much more.Pothys desire to innovate and excel in silk manufacturing won us the Guinness World Record in the year 2005 for creating the worlds longest silk saree. Our showrooms house the largest collection of silk sarees in Tamil Nadu.,"No.84, 85, N Usman Rd, Postal Colony, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017",4.5,20,0,9 am–10 pm,2hrs,,,
Connemara Public Library,Library,2,Indoor,"The Connemara Public Library at Egmore in Chennai, Tamil Nadu, India, is one of the four National Depository Libraries which receive a copy of all books, newspapers and periodicals published in India.","Pantheon Rd, Chennai, Tamil Nadu 600008",4.5,20,0,8 am–8 pm,>1hr,,,
Guindy National Park&Garden,Park&Garden,1,Outdoor,"A largely industrial district, Guindy is also home to Guindy National Park&Garden, a tropical forest inhabited by blackbucks, jackals and dozens of butterfly species. Pythons and cobras are the main attraction at the Chennai Snake Park&Garden on the edge of the forest. Nearby, St. Thomas Mount is a Christian pilgrimage site, where the apostle is believed to have been martyred. The site has","Rangeguindy, Chennai, Tamil Nadu 600025",4,20,20,9 am–5:30 pm,>3hrs,,,
Skywalk (ampa Mall),Shopping Mall,2,Indoor,"If there's one thing that has the power to transform a dull day, it's shopping. However bad your mood is, once you get some retail therapy going, everything seems better. Sure, things may still be the same once you go back to reality. But, why ruin a moment by just worrying? Shopping centres have become so popular nowadays because, unlike individual shops, they offer a holistic experience.So, if you want to soak in the experiences of Shopping Centres, we suggest you check out Ampa Skywalk in Aminjikarai, Chennai. It has received a 4.2 rating. Come here to experience the joys of retail therapy!","1, Nelson Manickam Rd, Aminjikarai, Chennai, Tamil Nadu 600029",3.5,20,0,9:30 am - 10:00 pm,2hrs,,,
saravana stores,Shopping Mall,2,Indoor,a chain of retail stores in India. It is the largest family owned business retail chain in India. It is the first store to introduce ??? ???????? concept.," at T. Nagar, Purasawalkam, Porur, Padi, Sholinganallur, Chromepet and Usman Road. ",4,20,0,9:00 am -10:00 pm,5 hr,,,
MGR memorial ,Points of Interest & Landmarks ,1,Outdoor,"The memorial was built in the memory of M.G. Ramachandran, India's first actor cum chief minister and that too for three consecutive terms until his death. Considered as one of the greatest political leaders and actors of the state, his followers idolize him as Puratchi Thalaivar (Revolutionary leader). He was honoured with Bharat Ratna, the highest civilian award of India after his death. Spread over 8.25 acres, the memorial is located adjacent to the Anna Memorial and has the highest number of visitors along the seafront.",Royapettah,4,20,0,06:00 am -09 :00 pm ,1:30 hr,,,
The Rajiv Gandhi memorial,Points of Interest & Landmarks ,1,Outdoor,"This Chennai attraction holds high significance in being one of the prime locations in India, given the historic moment attached to it. It is on these ground that the prime minister of India, Rajiv Gandhi was assassinated. In here, there are various features, that throw light upon the various happenings on India. From the stone sculpture depicting India's progress at the memorial, an enormous verdant lawn lined trees and a stone inscription with the history of proceedings that happened here. The main draw of this place however, is the exact spot where Rajiv Gandhi was assassinated marked by a stone mural. This mural is highlighted by seven pillars. “The path of Light” that traces his final steps is another feature of this Chennai attraction.",Sriperumbudur,4.3,20,0,10 : 00 am - 05 : 00 pm ,1 hr ,,,
National Art Gallery ,Museum,2,Indoor&Outdoor,"One of the oldest of art galleries in India, the National Art Gallery is a striking melange of spectacular architecture and a very interesting array of collections on display. The attractions lures visitors at a first glance itself, owing to the red stones used in this Indo-Sarsenic architecture marvel. These were sourced from another Indian state Andhra Pradesh. Inside the museum, you have paintings from regions of India that are renowned for their rich art; like Rajasthan, Deccan area, Thanjavur and Kangra. Its sandalwood sculptures are another prominent draw of this Chennai attraction.",egmore,4.4,20,15,09:30 am - 05 : 00 pm,1:30 hr ,,,
fort museum ,Museum,2,Indoor,"Also referred to as White Town historically, the Fort Museum is a Chennai attraction built in the year 1644. Owing to this fort’s construction, there was a steady rise in trading activities further settlements, given the being of this once-inhabited land. Today the property is home to not just the Tamil Nadu legislative assembly but also other official buildings.","Fort St George, Chennai, ",4.2,20,100,10: 00 am - 05 : 00 pm,2 hr ,,,
VGP golden beach ,Beaches,1,Outdoor,"The VGP Universal Kingdom is an amusement Park&Garden, full of fun rides. This Chennai attraction is well accommodated with all kinds of rides, making it an ideal for one and all. Having a conference room, this place is a preferred destination for corporate conferences too. The property sprawls across a humungous expanse and owing to a good maintenance, this place looks no less than a movie set. The place is perfect for a good day out, family get together, college or school picnics. The live shows, snow kingdom, petting zoo and restaurant promise ultimate entertainment.","East Coast Road, Injambakkam",4,20,895,11:00 am - 07:30 pm ,2hr ,,,
B M Birla Planatarium,observatories &planetariums,2,Indoor,Spend an evening stargazing at Chennai’s Birla’s Planetarium and watch the cosmos in comfort. Discover the solar system and its wonders by going on a virtual tour of the sky at night and marvel at cosmic beauty beyond our line of sight. ,"mandapam road , chennai ",3.7,30,40,10:00 am - 05:45 pm ,1 hr ,,,
St Mary's Church,churches&cathedrals,2,Indoor,"Perched on the same ground as the Fort Museum, the St Mary's Church is not only the oldest Anglican church but also the oldest British building in India. With a striking architecture, the church remains to be a debate of who the architect was. Whether it was Edward Foule or William Dixon, both who were gunners of the fort. The church’s’ construction is believed to have taken place in the 16th century, most probably in the years of 1678-1680 AD. The British East India Company played a leading role in the inception of this church. One of the most beautiful churches in Chennai, this church is certain to make you feel mesmerized and calm!","Rajaji Salai, Fort St George, Chennai",4.4,20,0,10:00 am -06 :00 pm,1 hr ,,,
Siruvapuri Sri Balamurugan Temple,Religious sites,2,Indoor,"History of the temple has that Lava and Kusa, the sons of Rama lived in this place. Once when Rama was passing this place, they have fought a war with Rama himself without knowing that he was their father. As the young children waged a war here, the place was called as Siruvar Por Puri.","Thatchoor Koot Road, Siruvapuri, Tiruvallur",4.5,20,0,"7am–2:15pm, 4pm–8pm,",1:30 hr,,,
Thiruvanmiyur Beach ,Beaches,1,Outdoor,"Set in the neighbourhood of Valmiki Nagar, the breezy Beach is a great alternative, if you want to skip the highly touristy Marina beach. In fact, it is more picturesque and clean, given the fact it is less crowded. The beach is frequented to by those staying nearby for morning and evening walks, but absolutely anytime of the day is a good time to visit the Breezy Beach. If there is any drawback to this beach, is the fact that you have to walk a little more from public transport stations and stops, than you would usually need form other attractions. ","Water Land Drive Rd, Lakshmana Perumal Nagar, Valmiki Nagar, Chennai,",4.5,30,0,full day ,1:30 hr,,,
